16:53:41.830 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:53:45.872 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:54:02.219 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:54:10.312 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:54:14.034 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:54:24.590 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:54:40.204 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:54:40.689 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:54:47.831 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:54:49.248 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:54:54.432 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:54:55.514 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:55:00.640 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:55:10.191 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:55:21.934 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:55:28.431 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:55:38.645 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:55:54.269 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:55:55.569 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:56:05.951 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:56:07.317 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:56:08.349 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:56:09.015 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:56:29.044 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:56:39.411 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:58:27.699 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:58:37.520 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:58:43.798 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:58:52.212 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:58:55.479 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:59:04.410 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:59:05.357 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:59:46.762 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:59:47.543 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
